input,elevation
"43.128103, -71.916940",244
"43.761590, -71.583345",374
"43.576496, -71.482301",200
"43.519156, -71.375593",575
"44.100673, -71.494074",744
"43.631211, -71.498585",297
"43.717721, -71.369179",151
"43.314026, -72.024551",325
"43.623334, -71.632615",179
"43.417721, -71.990609",389
"43.265259, -71.408835",152
"43.875712, -71.395018",283
"43.343127, -71.923616",322
"43.211856, -71.223393",204
"43.999889, -71.714447",548
"43.288501, -71.309368",246
"43.738799, -71.702722",282
"43.782855, -71.884727",498
"43.386099, -71.772917",255
"43.524186, -71.601607",219
"43.301982, -71.926953",268
"43.170513, -71.417063",125
"43.431031, -71.575998",188
"43.308930, -71.835506",236
"43.965830, -71.859100",596
"43.190068, -72.093879",486
"43.078057, -71.703708",232
"43.858721, -71.923718",316
"43.473002, -72.013536",527
"43.947870, -71.635802",368
"43.443115, -71.922637",291
"43.129847, -71.131859",112
"43.179131, -71.142619",120
"43.970620, -71.679913",194
"43.238549, -71.555988",83
"43.311685, -71.665421",209
"43.133177, -71.537242",216
"43.333988, -71.446658",235
"42.965044, -72.294803",218
"43.050291, -71.981967",384
"42.780669, -72.446994",236
"43.020281, -71.903693",324
"42.875727, -72.456114",325
"42.889279, -72.069849",497
"43.020616, -72.214374",486
"42.858271, -72.296360",188
"42.753205, -72.153028",384
"43.052622, -72.274498",359
"42.977339, -71.997821",322
"42.948515, -72.068894",420
"42.809298, -72.504822",118
"42.829254, -72.059901",336
"42.901769, -72.172904",372
"43.138544, -72.208769",427
"42.999482, -72.121703",541
"42.868369, -71.940102",275
"42.756663, -72.013247",400
"42.889241, -72.388978",299
"43.090822, -72.126816",542
"42.828785, -72.188940",349
"42.890398, -72.502989",153
"42.968075, -72.430856",166
"42.771370, -72.354216",267
"44.343350, -71.795116",515
"44.504596, -71.155466",334
"44.260435, -71.609203",454
"44.313744, -71.402889",805
"44.912445, -71.385112",506
"44.964771, -71.025563",488
"44.163448, -71.693296",945
"44.289765, -71.152184",886
"44.563265, -71.442474",957
"44.396741, -71.464694",345
"44.483853, -71.545865",286
"44.222416, -71.877173",318
"44.218410, -71.800240",385
"44.623040, -71.211846",482
"44.749655, -71.478749",907
"45.116236, -71.261110",553
"44.301498, -71.299826",1179
"44.305211, -71.497351",885
"44.744797, -71.381584",809
"44.378898, -71.628699",306
"43.238837, -72.286124",531
"43.140832, -72.347568",364
"43.246634, -72.383931",246
"43.127333, -72.376864",245
"43.236564, -72.184869",428
"43.196510, -72.268353",395
"43.076505, -72.395926",319
"43.143932, -72.446437",118
"44.184481, -71.978837",291
"43.676940, -72.007001",361
"43.360727, -72.326929",283
"43.476437, -72.334130",363
"43.494376, -72.257151",410
"43.589099, -72.132135",519
"43.721023, -72.185207",345
"43.449753, -72.092311",424
"43.271965, -72.100703",609
"43.516590, -72.149093",435
"43.377461, -72.138390",264
"43.727746, -72.142753",527
"44.035225, -72.050202",188
"43.632568, -72.234816",244
"43.816634, -72.094295",491
"43.531300, -72.258815",352
"44.296664, -71.980649",425
"43.371345, -72.202789",323
"44.099753, -71.985475",305
"43.883227, -72.033583",691
"43.961850, -72.001291",696
"44.046677, -71.988955",313
"43.560058, -72.299358",287
"43.390088, -72.093129",364
"43.638325, -72.306490",155
"44.043516, -71.912200",751
"43.074812, -70.805443",23
"43.464959, -71.200405",250
"43.512833, -71.294635",478
"42.839103, -71.167180",100
"44.081130, -71.297237",220
"44.127402, -71.060836",568
"43.770937, -71.181505",305
"43.689431, -71.258778",204
"43.887170, -71.229402",196
"43.959771, -71.274013",968
"42.927892, -71.119888",55
"43.190658, -70.887655",39
"43.174607, -70.941453",69
"43.117186, -70.918788",19
"43.215566, -71.038980",120
"42.890002, -71.130675",82
"42.903739, -70.995570",50
"43.614109, -70.993572",251
"43.906960, -71.047520",325
"42.978415, -70.987522",35
"43.372559, -71.083260",207
"43.842055, -71.075122",213
"43.422251, -71.336087",215
"44.110671, -71.223276",246
"43.262994, -70.991203",65
"43.039732, -70.845622",8
"42.881861, -71.182399",93
"42.939601, -70.836728",22
"42.924811, -70.886242",26
"44.095413, -71.120545",581
"44.187626, -71.155760",663
"44.071999, -71.123967",213
"42.913731, -71.073595",49
"43.902455, -71.129871",255
"43.690629, -71.297611",194
"43.437283, -71.025251",249
"43.495013, -70.986040",185
"43.642843, -71.282735",181
"43.062161, -70.716884",17
"43.463687, -71.152140",239
"43.038509, -70.967954",32
"43.070909, -70.946875",34
"42.870369, -71.045915",53
"44.035706, -71.117232",203
"43.119202, -71.007082",37
"42.979934, -70.829441",20
"43.689928, -71.103444",208
"42.845597, -71.093260",35
"43.303528, -70.988238",76
"43.323179, -70.933650",92
"43.219815, -70.843107",37
"43.008649, -70.758330",16
"42.980948, -70.777362",18
"43.570559, -71.043233",215
"42.934018, -71.183605",80
"42.883123, -70.860823",16
"43.895078, -71.189275",199
"43.253476, -70.887944",67
